Txn Hash,Blockno,UnixTimestamp,DateTime (UTC),Action,Amount (Out),Token (Out),Amount (In),Token (In),Swapped Rate,Swapped Pair,DEX
0x9a200d12e6a4f9885249c725fdbe8020dda4dd2d96cf045847bec63ba67d0a47,18729484,1701892451,06/12/2023 19:54,Sell,403750, SYNC,0.020132967, ETH,0.00000005,ETH per SYNC,Uniswap V2
0x9a200d12e6a4f9885249c725fdbe8020dda4dd2d96cf045847bec63ba67d0a47,18729484,1701892451,06/12/2023 19:54,Buy,0.025081496, ETH,500000, SYNC,0.00000005,ETH per SYNC,Uniswap V2
0x9a200d12e6a4f9885249c725fdbe8020dda4dd2d96cf045847bec63ba67d0a47,18729484,1701892451,06/12/2023 19:54,Buy,33.43743428, ETH,500000000, SYNC,0.00000007,ETH per SYNC,Uniswap V2
0x55db243ce0492bc9ec8422f463247fdab260ea9891520ae500c7d83fa38cea5a,18729485,1701892463,06/12/2023 19:54,Buy,7.454485065, ETH,79130479.42, SYNC,0.00000009,ETH per SYNC,Uniswap V2
0xf54577e781d043b6eb3a21cdd8101d6e1d6653faf88325b44325114067adf4e1,18729485,1701892463,06/12/2023 19:54,Buy,13.86, ETH,126896585.6, SYNC,0.00000011,ETH per SYNC,Uniswap V2
0x48a50a3a85c26c0fb7c623278767864056f0d32a1e79ca38bbbfd46736cbfe05,18729485,1701892463,06/12/2023 19:54,Buy,0.495, ETH,4113017.568, SYNC,0.00000012,ETH per SYNC,Uniswap V2
0x3ce8d76d7ae51d93d3a13abf0879cb4ca3e7e5a4b1c7d17dffaf43c271099bc6,18729485,1701892463,06/12/2023 19:54,Buy,7.92, ETH,62423546.27, SYNC,0.00000013,ETH per SYNC,Uniswap V2
0x11e629e7a15a68e79557a6945838d1d42b6709814cf7243a252582e8f9ca0b3f,18729485,1701892463,06/12/2023 19:54,Buy,6.93, ETH,49858283.73, SYNC,0.00000014,ETH per SYNC,Uniswap V2
0x01a13225e5c038115e12fc9612d1f55bd84dff456d7ed96a179ec881b6c5d500,18729485,1701892463,06/12/2023 19:54,Buy,2.97, ETH,20146597.15, SYNC,0.00000015,ETH per SYNC,Uniswap V2
0x56e5d87823a92076c65b16eac3603232e38117e9a32b7314c2c0575032857e0e,18729485,1701892463,06/12/2023 19:54,Buy,0.099, ETH,659652.8477, SYNC,0.00000015,ETH per SYNC,Uniswap V2
